ABC 4^$a+1
3 40
5 40
7 40
11 40
13 40
17 40
19 40
23 40
29 40
31 40
43 40
47 40
53 40
73 40
79 40
89 40
109 40
113 40
137 40
151 40
157 40
163 40
167 40
173 40
181 40
199 40
211 40
227 40
239 40
241 40
263 40
283 40
311 40
317 40
349 40
353 40
359 40
367 40
379 40
401 40
431 40
443 40
457 40
523 40
547 40
557 40
563 40
577 40
593 40
607 40
613 40
617 40
631 40
641 40
643 40
653 40
661 40
683 40
691 40
701 40
709 40
719 40
733 40
751 40
757 40
769 40
773 40
787 40
797 40
809 40
821 40
823 40
827 40
829 40
839 40
853 40
857 40
863 40
881 40
883 40
907 40
937 40
941 40
953 40
971 40
977 40
983 40
997 40
1013 40
