ABC ($a^$b-1)/($a-1)
316   1801
4640  1801
2389  2377
9832  2143
5968  2341
5982  2381
978   3061
9572  2381
3284  2857
8917  2689
5273  2857
3164  3061
2781  3121
11581 2677
8684  2791
8781  2851
10986 2857
4469  3257
8662  3037
10708 3061
3198  3727
3863  3697
11398 3319
12432 3301
3894  3967
8185  3673
2728  4231
4018  4177
16339 3613
683   5483
13803 3919
3085  4703
19026 4051
20250 4099
18067 4201
15637 4513
13782 4591
14261 4663
19979 4933
23151 5347
3429  7549
13320 6997
11379 7411
4366  10099
